name;source;type;minOccurs;maxOccurs;elementURI;classURI;documentation;;
SourceOfInformationText;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized:SourceOfInformation;NormalString;1;1;http://purl.org/pliniancore/terms/UsesAtomized/SourceOfInformationText;http://purl.org/pliniancore/terms/NormalString;NULL;;
Use-Value;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/UseValue;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
PartUsed;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/PartUsed;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
Users;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/Users;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
VernacularNameUseAnnotations;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/VernacularNameUseAnnotations;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany. The name of the taxon should be distinguished from part5 names. Name may be restricted to a time of the year or occasion, or have sacred connotations;;
ProductionDetails;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/ProductionDetails;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
MeansOfApplication-Administration;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/MeansOfApplicationAdministration;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
SeasonOfAvailability-Use;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/SeasonOfAvailabilityUse;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
Conservation-ExplotationData;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/ConservationExplotationData;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
UseTypeAtomized;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/UseType;http://purl.org/pliniancore/terms/NormalString;"Acc. TDWG Economic Botany. traditional, industrial; past, current, possible";;
RatingPopularity;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/RatingPopularity;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
Properties;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/Properties;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
Problems;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/Problems;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
Potentials;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/Potential;http://purl.org/pliniancore/terms/NormalString;Acc. TDWG Economic Botany;;
UseNotes;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/UsesAtomized/UseNotes;http://purl.org/pliniancore/terms/NormalString;NULL;;
Folklore;Dataset:TaxonRecord:UsesManagementAndConsevation;FolkloreType;0;1;http://purl.org/pliniancore/terms/UsesManagementAndConservation/Folklore;http://purl.org/pliniancore/terms/FolkloreClass;Known myths or legends that people or literature contribute about the species.;;
FolkloreAtomized;Dataset:TaxonRecord:UsesManagementAndConsevation:Folklore;FolkloreAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/Folklore/FolkoreAtomized;http://purl.org/pliniancore/terms/DetailClass;NULL;;
FolkloreUnstructured;Dataset:TaxonRecord:UsesManagementAndConsevation:Folklore;NormalString;1;1;http://purl.org/pliniancore/terms/Folklore/FolkoreUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
ManagementAndConservation;Dataset:TaxonRecord:UsesManagementAndConsevation;ManagementType;0;1;http://purl.org/pliniancore/terms/UsesManagementAndConservation/ManagementAndConservation;http://purl.org/pliniancore/terms/ManagementClass;NULL;;
ManagementAtomized;Dataset:TaxonRecord:UsesManagementAndConsevation:ManagementAndConservation;ManagementAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/ManagementAndConservation/ManagementAtomized;http://purl.org/pliniancore/terms/ManagementAtomizedClass;NULL;;
type;Dataset:TaxonRecord:UsesManagementAndConsevation:ManagementAndConservation:ManagementAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/ManagementAtomized/type;http://purl.org/pliniancore/terms/NormalString;NULL;;
Objetives;Dataset:TaxonRecord:UsesManagementAndConsevation:ManagementAndConservation:ManagementAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/ManagementAtomized/Objectives;http://purl.org/pliniancore/terms/NormalString;NULL;;
Actions;Dataset:TaxonRecord:UsesManagementAndConsevation:ManagementAndConservation:ManagementAtomized;ComplexType;1;1;http://purl.org/pliniancore/terms/ManagementAtomized/Actions;null;Actions are interventions undertaken to reach ultimate conservation goals (e.g., setting up a protected area or species population recovery).;;
type;Dataset:TaxonRecord:UsesManagementAndConsevation:ManagementAndConservation:ManagementAtomized:Actions;NormalString;0;1;http://purl.org/pliniancore/terms/ManagementAtomized/Actions;http://purl.org/pliniancore/terms/NormalString;NULL;;
ManagementPlan;Dataset:TaxonRecord:UsesManagementAndConsevation:ManagementAndConservation:ManagementAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/ManagementAtomized/ManagementPlan;http://purl.org/pliniancore/terms/NormalString;NULL;;
EnvironmentalImpact;Dataset:TaxonRecord:UsesManagementAndConsevation:ManagementAndConservation:ManagementAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/ManagementAtomized/EnvironmentalImpact;http://purl.org/pliniancore/terms/NormalString;NULL;;
ManagementUnstructured;Dataset:TaxonRecord:UsesManagementAndConsevation:ManagementAndConservation;NormalString;1;1;http://purl.org/pliniancore/terms/ManagementAndConservation/ManagementUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
References;Dataset:TaxonRecord;tcs:ReferenceType;0;unbounded;http://purl.org;http://tdwg.napier.ac.uk/tcs_doc101/#complexType_ReferenceType_Link036FB590;NULL;;
AncillaryData;Dataset:TaxonRecord;eol:DataObjectBaseType;0;unbounded;http://purl.org;http://purl.org;From EoL;;
